patch,dungeon,encounter_id,boss,boss_enabled,spell_id,spell_name,in_timeline
12.0.x,Windrunner Spire,3056,Emberdawn,yes,466556,Flaming Updraft,yes
12.0.x,Windrunner Spire,3056,Emberdawn,yes,465904,Burning Gale,yes
12.0.x,Windrunner Spire,3056,Emberdawn,yes,466064,Searing Beak,no
12.0.x,Windrunner Spire,3057,Derelict Duo,yes,472745,Splattering Spew,yes
12.0.x,Windrunner Spire,3057,Derelict Duo,yes,472795,Heaving Yank,yes
12.0.x,Windrunner Spire,3057,Derelict Duo,yes,472888,Bone Hack,no
12.0.x,Windrunner Spire,3057,Derelict Duo,yes,474105,Curse of Darkness,no
12.0.x,Windrunner Spire,3057,Derelict Duo,yes,472736,Debilitating Shriek,no
12.0.x,Windrunner Spire,3058,Commander Kroluk,yes,468070,Rallying Bellow,yes
12.0.x,Windrunner Spire,3058,Commander Kroluk,yes,1270620,Flame Nova,yes
12.0.x,Windrunner Spire,3058,Commander Kroluk,yes,467620,Rampage,no
12.0.x,Windrunner Spire,3058,Commander Kroluk,yes,470963,Bladestorm,no
12.0.x,Windrunner Spire,3058,Commander Kroluk,yes,472081,Reckless Leap,no
12.0.x,Windrunner Spire,3058,Commander Kroluk,yes,1253272,Intimidating Shout,no
12.0.x,Windrunner Spire,3059,The Restless Heart,yes,472556,Arrow Rain,yes
12.0.x,Windrunner Spire,3059,The Restless Heart,yes,468429,Bullseye Windblast,yes
12.0.x,Windrunner Spire,3059,The Restless Heart,yes,1253986,Gust Shot,yes
12.0.x,Windrunner Spire,3059,The Restless Heart,yes,472662,Tempest Slash,no
12.0.x,Windrunner Spire,3059,The Restless Heart,yes,474528,Bolt Gale,no
12.0.x,Maisara Caverns,3212,Muro'jin & Nekraxx,no,1260648,Barrage,no
12.0.x,Maisara Caverns,3212,Muro'jin & Nekraxx,no,1246666,Infected Pinions,no
12.0.x,Maisara Caverns,3212,Muro'jin & Nekraxx,no,1266480,Flanking Spear,no
12.0.x,Maisara Caverns,3212,Muro'jin & Nekraxx,no,1260731,Freezing Trap,no
12.0.x,Maisara Caverns,3212,Muro'jin & Nekraxx,no,1243900,Fetid Quillstorm,no
12.0.x,Maisara Caverns,3212,Muro'jin & Nekraxx,no,1260643,Barrage,no
12.0.x,Maisara Caverns,3212,Muro'jin & Nekraxx,no,1249479,Carrion Swoop,no
12.0.x,Maisara Caverns,3213,Vordaza,yes,1251204,Wrest Phantoms,yes
12.0.x,Maisara Caverns,3213,Vordaza,yes,1250708,Necrotic Convergence,yes
12.0.x,Maisara Caverns,3213,Vordaza,yes,1251554,Drain Soul,no
12.0.x,Maisara Caverns,3213,Vordaza,yes,1252054,Unmake,no
12.0.x,Maisara Caverns,3214,"Rak'tul, Vessel of Souls",no,1251023,Spiritbreaker,no
12.0.x,Maisara Caverns,3214,"Rak'tul, Vessel of Souls",no,1252676,Crush Souls,no
12.0.x,Maisara Caverns,3214,"Rak'tul, Vessel of Souls",no,1253788,Soulrending Roar,no
12.0.x,Nexus-Point Xenas,3328,Chief Corewright Kasreth,yes,1257509,Corespark Detonation,yes
12.0.x,Nexus-Point Xenas,3328,Chief Corewright Kasreth,yes,1251579,Leyline Array,no
12.0.x,Nexus-Point Xenas,3328,Chief Corewright Kasreth,yes,1251772,Reflux Charge,no
12.0.x,Nexus-Point Xenas,3328,Chief Corewright Kasreth,yes,1264048,Flux Collapse,no
12.0.x,Nexus-Point Xenas,3332,Corewarden Nysarra,yes,1249014,Eclipsing Step,yes
12.0.x,Nexus-Point Xenas,3332,Corewarden Nysarra,yes,1247976,Lightscar Flare,yes
12.0.x,Nexus-Point Xenas,3332,Corewarden Nysarra,yes,1247937,Umbral Lash,no
12.0.x,Nexus-Point Xenas,3332,Corewarden Nysarra,yes,1252703,Null Vanguard,no
12.0.x,Nexus-Point Xenas,3332,Corewarden Nysarra,yes,1264439,Lightscar Flare,no
12.0.x,Nexus-Point Xenas,3332,Corewarden Nysarra,yes,1271684,Devour the Unworthy,no
12.0.x,Nexus-Point Xenas,3333,Lothraxion,yes,1253855,Brilliant Dispersion,yes
12.0.x,Nexus-Point Xenas,3333,Lothraxion,yes,1253950,Searing Rend,no
12.0.x,Nexus-Point Xenas,3333,Lothraxion,yes,1255531,Flicker,no
12.0.x,Nexus-Point Xenas,3333,Lothraxion,yes,1257595,Divine Guile,no
12.0.x,Magister's Terrace,3071,Arcanotron Custos,no,474496,Repulsing Slam,no
12.0.x,Magister's Terrace,3071,Arcanotron Custos,no,1214081,Arcane Expulsion,no
12.0.x,Magister's Terrace,3071,Arcanotron Custos,no,1214032,Ethereal Shackles,no
12.0.x,Magister's Terrace,3071,Arcanotron Custos,no,474345,Refueling Protocol,no
12.0.x,Magister's Terrace,3072,Seranel Sunlash,no,1225792,Runic Mark,no
12.0.x,Magister's Terrace,3072,Seranel Sunlash,no,1246446,Null Reaction,no
12.0.x,Magister's Terrace,3072,Seranel Sunlash,no,1225787,Runic Mark,no
12.0.x,Magister's Terrace,3072,Seranel Sunlash,no,1224903,Suppression Zone,no
12.0.x,Magister's Terrace,3072,Seranel Sunlash,no,1248689,Hastening Ward,no
12.0.x,Magister's Terrace,3072,Seranel Sunlash,no,1225193,Wave of Silence,no
12.0.x,Magister's Terrace,3073,Gemellus,yes,1283904,Cosmic Sting,yes
12.0.x,Magister's Terrace,3073,Gemellus,yes,1224299,Astral Grasp,yes
12.0.x,Magister's Terrace,3073,Gemellus,yes,1223847,Triplicate,no
12.0.x,Magister's Terrace,3073,Gemellus,yes,1284954,Cosmic Sting,no
12.0.x,Magister's Terrace,3073,Gemellus,yes,1253709,Neural Link,no
12.0.x,Magister's Terrace,3074,Degentrius,yes,1215897,Devouring Entropy,yes
12.0.x,Magister's Terrace,3074,Degentrius,yes,1280113,Hulking Fragment,no
12.0.x,Magister's Terrace,3074,Degentrius,yes,1215087,Unstable Void Essence,no
12.0.x,Algeth'ar Academy,2562,Vexamus,yes,386181,Mana Bomb,yes
12.0.x,Algeth'ar Academy,2562,Vexamus,yes,386544,Arcane Orbs,no
12.0.x,Algeth'ar Academy,2562,Vexamus,yes,385958,Arcane Expulsion,no
12.0.x,Algeth'ar Academy,2562,Vexamus,yes,386173,Mana Bomb,no
12.0.x,Algeth'ar Academy,2562,Vexamus,yes,388537,Arcane Fissure,no
12.0.x,Algeth'ar Academy,2563,Overgrown Ancient,yes,388623,Branch Out,yes
12.0.x,Algeth'ar Academy,2563,Overgrown Ancient,yes,388923,Burst Forth,yes
12.0.x,Algeth'ar Academy,2563,Overgrown Ancient,yes,388544,Barkbreaker,no
12.0.x,Algeth'ar Academy,2563,Overgrown Ancient,yes,388796,Germinate,no
12.0.x,Algeth'ar Academy,2564,Crawth,no,376997,Savage Peck,no
12.0.x,Algeth'ar Academy,2564,Crawth,no,377004,Deafening Screech,no
12.0.x,Algeth'ar Academy,2564,Crawth,no,377034,Overpowering Gust,no
12.0.x,Algeth'ar Academy,2565,Echo of Doragosa,no,373326,Arcane Missiles,no
12.0.x,Algeth'ar Academy,2565,Echo of Doragosa,no,1282251,Astral Blast,no
12.0.x,Algeth'ar Academy,2565,Echo of Doragosa,no,374343,Energy Bomb,no
12.0.x,Algeth'ar Academy,2565,Echo of Doragosa,no,388822,Power Vacuum,no
12.0.x,Seat of the Triumvirate,2065,Zuraal the Ascended,yes,1263399,Oozing Slam,yes
12.0.x,Seat of the Triumvirate,2065,Zuraal the Ascended,yes,1263297,Crashing Void,yes
12.0.x,Seat of the Triumvirate,2065,Zuraal the Ascended,yes,1263440,Void Slash,no
12.0.x,Seat of the Triumvirate,2065,Zuraal the Ascended,yes,1263282,Decimate,no
12.0.x,Seat of the Triumvirate,2065,Zuraal the Ascended,yes,1268916,Null Palm,no
12.0.x,Seat of the Triumvirate,2066,Saprish,yes,1263523,Overload,yes
12.0.x,Seat of the Triumvirate,2066,Saprish,yes,1280065,Phase Dash,yes
12.0.x,Seat of the Triumvirate,2066,Saprish,yes,245742,Shadow Pounce,no
12.0.x,Seat of the Triumvirate,2066,Saprish,yes,1248219,Void Bomb,no
12.0.x,Seat of the Triumvirate,2067,Viceroy Nezhar,yes,1263542,Mass Void Infusion,yes
12.0.x,Seat of the Triumvirate,2067,Viceroy Nezhar,yes,1263538,Umbral Tentacles,yes
12.0.x,Seat of the Triumvirate,2067,Viceroy Nezhar,yes,1263529,Collapsing Void,yes
12.0.x,Seat of the Triumvirate,2067,Viceroy Nezhar,yes,244750,Mind Blast,no
12.0.x,Seat of the Triumvirate,2067,Viceroy Nezhar,yes,1277358,Gates of the Abyss,no
12.0.x,Seat of the Triumvirate,2067,Viceroy Nezhar,yes,1263528,Repulse,no
12.0.x,Seat of the Triumvirate,2068,L'ura,yes,1265421,Dirge of Despair,yes
12.0.x,Seat of the Triumvirate,2068,L'ura,yes,1264196,Disintegrate,no
12.0.x,Seat of the Triumvirate,2068,L'ura,yes,1265463,Discordant Beam,no
12.0.x,Seat of the Triumvirate,2068,L'ura,yes,1265689,Grim Chorus,no
12.0.x,Seat of the Triumvirate,2068,L'ura,yes,1266003,Symphony of the Eternal Night,no
12.0.x,Seat of the Triumvirate,2068,L'ura,yes,1265999,Siphon Void,no
12.0.x,Seat of the Triumvirate,2068,L'ura,yes,1265464,Discordant Beam,yes
12.0.x,Skyreach,1698,Ranjit,yes,153757,Fan of Blades,yes
12.0.x,Skyreach,1698,Ranjit,yes,1252690,Gale Surge,no
12.0.x,Skyreach,1698,Ranjit,yes,1258152,Wind Chakram,no
12.0.x,Skyreach,1698,Ranjit,yes,156793,Chakram Vortex,no
12.0.x,Skyreach,1699,Araknath,yes,1252877,Energize,yes
12.0.x,Skyreach,1699,Araknath,yes,154135,Supernova,yes
12.0.x,Skyreach,1699,Araknath,yes,154110,Fiery Smash,no
12.0.x,Skyreach,1699,Araknath,yes,154162,Energize,no
12.0.x,Skyreach,1700,Rukhran,yes,1253510,Sunbreak,yes
12.0.x,Skyreach,1700,Rukhran,yes,1253519,Burning Claws,no
12.0.x,Skyreach,1700,Rukhran,yes,159382,Searing Quills,no
12.0.x,Skyreach,1701,High Sage Viryx,yes,1253543,Scorching Ray,yes
12.0.x,Skyreach,1701,High Sage Viryx,yes,1253538,Scorching Ray,no
12.0.x,Skyreach,1701,High Sage Viryx,yes,154396,Solar Blast,no
12.0.x,Skyreach,1701,High Sage Viryx,yes,153954,Cast Down,no
12.0.x,Skyreach,1701,High Sage Viryx,yes,1253840,Lens Flare,no
12.0.x,Pit of Saron,1999,Forgemaster Garfrost,yes,1261847,Cryostomp,yes
12.0.x,Pit of Saron,1999,Forgemaster Garfrost,yes,1261299,Throw Saronite,no
12.0.x,Pit of Saron,1999,Forgemaster Garfrost,yes,1261546,Orebreaker,no
12.0.x,Pit of Saron,1999,Forgemaster Garfrost,yes,1262029,Glacial Overload,no
12.0.x,Pit of Saron,2001,Ick & Krick,yes,1264027,Shade Shift,yes
12.0.x,Pit of Saron,2001,Ick & Krick,yes,1264336,Plague Expulsion,yes
12.0.x,Pit of Saron,2001,Ick & Krick,yes,1264287,Blight Smash,no
12.0.x,Pit of Saron,2001,Ick & Krick,yes,1264363,"Get 'Em, Ick!",no
12.0.x,Pit of Saron,2000,Scourgelord Tyrannus,yes,1276648,Bone Infusion,yes
