category,key,spellID,name,class,spec,role,defType,short,cooldown,external,choiceNode,talents_required,talents_not_possessed,comment
EXTERNAL,51052:0,51052,Anti-Magic Zone (3 min),DEATHKNIGHT,,,,AMZ,180,yes,,"51052, 374383",,"CLE HERITEE : ne pas renommer, presente dans les plans sauvegardes"
EXTERNAL,51052:1,51052,Anti-Magic Zone (4 min),DEATHKNIGHT,,,,AMZ,240,yes,,51052,374383,"CLE HERITEE : ne pas renommer, presente dans les plans sauvegardes"
EXTERNAL,196718:0,196718,Darkness (5 min),DEMONHUNTER,,,,Dark,300,yes,,196718,389783,"CLE HERITEE : ne pas renommer, presente dans les plans sauvegardes"
EXTERNAL,196718:1,196718,Darkness (3 min),DEMONHUNTER,,,,Dark,180,yes,,"196718, 389783",,"CLE HERITEE : ne pas renommer, presente dans les plans sauvegardes"
EXTERNAL,374227,374227,Zephyr,EVOKER,,DAMAGER,,Zeph,120,yes,,374227,,aoeOnly
EXTERNAL,15286,15286,Vampiric Embrace,PRIEST,Shadow,,,Vamp,120,yes,,,,
EXTERNAL,97462,97462,Rallying Cry,WARRIOR,,,,Rally,180,yes,,97462,,
HEAL,RAMP,,Ramp,,,HEALER,,Ramp,0,no,,,,
HEAL,132158:0,132158,Nature's Swiftness (1 min),DRUID,,HEALER,,NS,60,no,,132158,382550,"CLE HERITEE : ne pas renommer, presente dans les plans sauvegardes"
HEAL,132158:1,132158,Nature's Swiftness (45 sec),DRUID,,HEALER,,NS,45,no,,"132158, 382550",,"CLE HERITEE : ne pas renommer, presente dans les plans sauvegardes"
HEAL,33891:0,33891,Incarnation: Tree of Life (3 min),DRUID,,HEALER,,Inc,180,no,2,33891,393371,"CLE HERITEE : ne pas renommer, presente dans les plans sauvegardes"
HEAL,33891:1,33891,Incarnation: Tree of Life (2 min),DRUID,,HEALER,,Inc,120,no,2,"33891, 393371",,"CLE HERITEE : ne pas renommer, presente dans les plans sauvegardes"
HEAL,391528:0,391528,Convoke the Spirits,DRUID,,HEALER,,Conv,120,no,2,391528,393371,"CLE HERITEE : ne pas renommer, presente dans les plans sauvegardes"
HEAL,391528:1,391528,Convoke the Spirits,DRUID,,HEALER,,Conv,60,no,2,"391528, 393371",,"CLE HERITEE : ne pas renommer, presente dans les plans sauvegardes"
HEAL,740:0,740,Tranquility (3 min),DRUID,,HEALER,,Tranq,180,no,,740,197073,"CLE HERITEE : ne pas renommer, presente dans les plans sauvegardes"
HEAL,740:1,740,Tranquility (2 min 30),DRUID,,HEALER,,Tranq,150,no,,"740, 197073",,"CLE HERITEE : ne pas renommer, presente dans les plans sauvegardes"
HEAL,359816,359816,Dream Flight,EVOKER,,HEALER,,DF,120,no,3,359816,,
HEAL,363534:0,363534,Rewind (3 min),EVOKER,,HEALER,,Rew,180,no,,363534,381922,"CLE HERITEE : ne pas renommer, presente dans les plans sauvegardes"
HEAL,363534:1,363534,Rewind (2 min),EVOKER,,HEALER,,Rew,120,no,,"363534, 381922",,"CLE HERITEE : ne pas renommer, presente dans les plans sauvegardes"
HEAL,370537,370537,Stasis,EVOKER,,HEALER,,Sta,90,no,3,370537,,
HEAL,374227:heal,374227,Zephyr,EVOKER,,HEALER,,Zeph,120,no,,374227,,"aoeOnly CLE HERITEE : ne pas renommer, presente dans les plans sauvegardes"
HEAL,115310,115310,Revival,MONK,,HEALER,,Rev,180,no,4,115310,,
HEAL,322118:0,322118,Invoke Yu'lon (1 min),MONK,,HEALER,,Yulon,60,no,1,"322118, 388212",,"CLE HERITEE : ne pas renommer, presente dans les plans sauvegardes"
HEAL,322118:1,322118,Invoke Yu'lon (2 min),MONK,,HEALER,,Yulon,120,no,1,322118,388212,"CLE HERITEE : ne pas renommer, presente dans les plans sauvegardes"
HEAL,325197:0,325197,Invoke Chi-Ji (1 min),MONK,,HEALER,,Chi,60,no,1,"325197, 388212",,"CLE HERITEE : ne pas renommer, presente dans les plans sauvegardes"
